time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2600000000000007,-0.0566137274686,-0.0146797542627,11.5816071201,3.38913688847e-05,0.0162679782713,0.0,-0.132324990033,-0.0222026424426,2.331888229,-0.0248964976155,0.0321536296036,0.0,440.7072334118668,440.571631888697,440.65419749751555,440.0304809766071
1.3200000000000007,-0.0648914079872,-0.0160166680162,11.7240759026,6.28190323768,0.0193330459734,0.0,-0.143858707096,-0.0225006645431,2.41688962481,-0.0165817580112,0.0742027491647,0.0,435.7372138295768,439.2396991397467,437.0234563143979,437.71590267563835
1.3800000000000008,-0.0739556454472,-0.0173980909699,11.8728813401,6.28099817631,0.0235520096092,0.0,-0.158737470381,-0.023646725359,2.54300821354,-0.0122463064221,0.0611212510731,0.0,451.63308866653347,450.5804400635877,450.1690785293693,450.51985223173347
1.4400000000000008,-0.0840564725926,-0.0188712257277,12.0315820762,6.28087924384,0.0270705196868,0.0,-0.178367619909,-0.025500441093,2.74653756157,0.013165526458,0.0531566263014,0.0,475.168989877683,474.5601868869951,473.4243640800891,475.3755959900704
1.5000000000000009,-0.0952710580323,-0.0204413214324,12.19722509,6.28149920681,0.0302215406378,0.0,-0.195739990313,-0.0267708763101,2.77481791144,0.00396108562936,0.051206598931,0.0,421.59000713028576,421.42344361623185,421.09573726599604,420.2986420523541
1.560000000000001,-0.107719328611,-0.0220851928144,12.3688911521,6.28153967367,0.0328856697029,0.0,-0.219519021528,-0.028007351619,2.94694360064,-0.00687855513902,0.025132829735,0.0,467.00666695450553,464.9694231717956,467.3827686887798,466.5371892752924
1.620000000000001,-0.121730724941,-0.0238092557603,12.5533505248,6.28076748753,0.0345808481866,0.0,-0.247706301146,-0.0295290731366,3.20101643828,-0.0288889551414,0.0338579881969,0.0,490.12052541576634,490.76869494294493,492.83830239727945,491.20888111595247
1.680000000000001,-0.137258841552,-0.0256329371457,12.7467651625,6.27920265406,0.0367192697407,0.0,-0.270089690909,-0.0314141708844,3.24600075677,-0.0209851089004,0.0389852545145,0.0,429.8364637834487,430.2713742359648,428.1290414321605,428.80084814069465
1.740000000000001,-0.154410938896,-0.02762441621,12.9493080411,6.27837777922,0.0391901971345,0.0,-0.301921465643,-0.0350922231246,3.50465574379,-0.00221110290406,0.0452479114967,0.0,494.0618537027142,494.5240876018425,493.34426234432357,494.728642682218
1.8000000000000012,-0.173275868691,-0.0298209911736,13.1607682123,6.27785771606,0.0422466856568,0.0,-0.327175550271,-0.0381520713431,3.54387992837,-0.0264952802012,0.0604094001855,0.0,429.1441454545891,430.43093865837744,430.0266642455425,427.96461658174286
1.8600000000000012,-0.193693011118,-0.0322129721767,13.374028528,6.27592993722,0.0454602445648,0.0,-0.353707643494,-0.0417357847714,3.56471207489,-0.0468472776552,0.0340954331571,0.0,424.7801701353278,422.5193986741077,424.5710119519027,422.82064183825327
1.9200000000000013,-0.215896177681,-0.034882815913,13.5915916619,6.27334006573,0.0478008473125,0.0,-0.386613758673,-0.0475391580509,3.6869860706,-0.0366649954403,0.0473688705476,0.0,455.3589356926105,456.420262626602,455.87386227086193,456.6857847005954
1.9800000000000013,-0.240087132571,-0.0379446427707,13.8156675858,6.27179367832,0.0507010533473,0.0,-0.420028265731,-0.0547019116278,3.78187798728,-0.0099427651087,0.0502048985558,0.0,448.9462544081911,449.17772118720984,446.80348793335,448.97667248235945
2.0400000000000014,-0.266118541939,-0.0414118415203,14.0410472972,6.27064585622,0.0539690359593,0.0,-0.447946454465,-0.0609303788675,3.73092601347,-0.052828274911,0.0618551872117,0.0,401.04154558944714,402.1007380457174,402.7779033370223,398.87987612588057
2.1000000000000014,-0.294265850393,-0.045371789984,14.2704213989,6.26757961808,0.0575190005465,0.0,-0.490680592403,-0.071415446402,3.9142276912,-0.04786207024,0.0531603299236,0.0,476.2234625467651,475.5600760562556,475.2142053072192,475.59325888975184
2.1600000000000015,-0.325069584913,-0.0500329613495,14.5109910701,6.26535771821,0.0607363332281,0.0,-0.536442712076,-0.0842323603948,4.10405861648,-0.0212686759734,0.0545299948236,0.0,478.73189060259756,478.83777392321014,477.9299528519344,479.95198862417766
2.2200000000000015,-0.358473978915,-0.0554437138446,14.7593458597,6.26355865197,0.0636228366047,0.0,-0.577328516746,-0.0962588355139,4.17414544534,-0.0597518414506,0.0304304308099,0.0,444.88221388632223,442.9057226612017,445.61544396769,442.4575914542579
2.2800000000000016,-0.394444672034,-0.0616394431291,15.0128483071,6.26008849856,0.0650046892851,0.0,-0.62184488264,-0.110617477097,4.27552885365,-0.0542571304436,0.0010305984878,0.0,455.2200094695955,452.8611637533428,454.4039161160018,454.84197588161373
2.3400000000000016,-0.433228597455,-0.0688099730573,15.2742563794,6.25732819788,0.0655778728846,0.0,-0.670956393651,-0.128715252234,4.43743232102,-0.0332002467459,0.0226892070294,0.0,472.38172433851776,474.0489898454102,472.85121957597545,474.46950258511504
2.4000000000000017,-0.474895676196,-0.0770912573858,15.5441272516,6.25520924321,0.0670714448138,0.0,-0.718069162337,-0.147529799287,4.5577573537,-0.0399228698188,0.0289708368785,0.0,462.132462563637,462.6274539183791,462.46219562782625,461.9318214155559
2.4600000000000017,-0.519345641371,-0.0865145193846,15.8200384032,6.25285079344,0.0697301531419,0.0,-0.763806393452,-0.166804386185,4.63891233805,-0.0381046096069,0.0644799174882,0.0,450.2199444191602,453.0850889028813,450.9038274022439,451.0499601500723
2.520000000000002,-0.566487719348,-0.0970919665415,16.0992112165,6.25030460551,0.0735455600204,0.0,-0.807941786461,-0.185991197986,4.66667980383,-0.052928540175,0.0617492342588,0.0,434.81548873333554,434.5896783244024,436.34676827958435,435.1062477612111
2.580000000000002,-0.616294926172,-0.108846354142,16.379319022,6.24694479168,0.0770038595202,0.0,-0.852616407229,-0.206105562441,4.67017481211,-0.0629713459955,0.0477985435538,0.0,428.28047994145396,427.09451382599417,428.11532524649914,427.25754933784356
2.640000000000002,-0.668972655797,-0.121930987272,16.6613044851,6.24303981929,0.0797668626795,0.0,-0.903563823889,-0.23040612422,4.72903544236,-0.0696786471561,0.042302508097,0.0,445.96972415016955,445.5217636381286,445.83218819879386,445.2806341311291
2.700000000000002,-0.724748711024,-0.136544315303,16.9466588218,6.23894294553,0.0819188913615,0.0,-0.95585323912,-0.257087173611,4.78248847717,-0.0656247379379,0.0181309602401,0.0,445.62696768345126,443.64699807055547,444.38056972511123,444.7092778818548
2.760000000000002,-0.783521426394,-0.152738944147,17.2330436179,6.23473364865,0.0830739058962,0.0,-1.00334648835,-0.283078135291,4.76370107922,-0.0812423034752,0.0213995975261,0.0,422.49180748702133,422.773549753562,421.55570001658486,420.19963656014227
2.820000000000002,-0.845450759115,-0.17073596258,17.5216988079,6.22964046127,0.0844877291995,0.0,-1.06107603103,-0.317303145737,4.85767126678,-0.0934014027988,0.0275738286959,0.0,458.37237654771934,458.862877321744,457.39808415981656,456.42281876459543
2.880000000000002,-0.910528792905,-0.1906690292,17.8118963198,6.22494234834,0.0865847712607,0.0,-1.10836980294,-0.347548826227,4.8156904764,-0.0583538602871,0.0466645924924,0.0,414.1994598895597,415.8758604630501,413.31528804735257,416.3871534757742
2.940000000000002,-0.978920247591,-0.212782421133,18.1045539197,6.22114292531,0.089350005348,0.0,-1.17159957745,-0.389911324641,4.9389404674,-0.0757919769464,0.0449071485465,0.0,467.45356909849284,467.31771700631435,468.17776977594673,466.81603707581644
3.000000000000002,-1.05161720776,-0.237836789833,18.4095901336,6.21677892586,0.0918104932501,0.0,-1.25185999876,-0.445725624525,5.22752232154,-0.0672300256706,0.0317752985984,0.0,516.5640857218426,515.6377497061676,515.6564618269954,516.2576793715011
3.0600000000000023,-1.12844977464,-0.265812440106,18.7238991036,6.21287517486,0.0934359328419,0.0,-1.30938806431,-0.487144328462,5.24925584697,-0.0610479885056,0.0155213131791,0.0,441.20198965711023,439.85792116840656,439.4722667259032,439.9812866252692
3.1200000000000023,-1.2090391517,-0.296551751167,19.0424323499,6.20916156105,0.0941297549032,0.0,-1.37697115881,-0.537842641528,5.36787445225,-0.063639913167,0.00216099789603,0.0,471.13320682512267,470.09881640323783,470.54740546717585,470.3441616668231
3.1800000000000024,-1.29324333614,-0.330051837623,19.3632643306,6.20585443919,0.0943886050397,0.0,-1.42988495413,-0.579125432923,5.32665337312,-0.0419886813405,0.00830604991502,0.0,421.2139653317175,421.7450842028098,420.15554630883804,422.02645894757575
3.2400000000000024,-1.38116118859,-0.366514465386,19.6871909151,6.20325704133,0.094680948227,0.0,-1.50070410545,-0.636516536222,5.47013049754,-0.0460277051142,-0.00307474379689,0.0,479.42420868612203,478.5585085359351,479.08679982344785,478.77865649350287
3.3000000000000025,-1.47288769668,-0.40609943956,20.0150110769,6.20034469249,0.094478335547,0.0,-1.55685404325,-0.68322802155,5.45720432198,-0.0541037068016,-0.00398813689675,0.0,432.1551999554671,432.07825383535436,432.320266641601,431.6375833128451
3.3600000000000025,-1.56812799021,-0.448665556976,20.3435613495,6.19662639094,0.0944637790671,0.0,-1.6178133224,-0.735940456182,5.4942106516,-0.0863769463554,0.00635712611849,0.0,447.8912013693079,448.73194736045633,449.19631238625766,446.5678814058723
3.4200000000000026,-1.66730207732,-0.494720324893,20.6771588867,6.19130812357,0.0947583742104,0.0,-1.68798222348,-0.799716225764,5.62493857528,-0.093589675797,0.00184573102293,0.0,476.87562017733046,476.53074297012085,478.1730008265448,477.61717295223457
3.4800000000000026,-1.77031961053,-0.544350624343,21.0146392425,6.18558983011,0.0947981138522,0.0,-1.74596282413,-0.855117208494,5.62429754701,-0.0989742147981,-0.00181645514796,0.0,438.1137252452889,437.80905450989025,438.8560207481505,438.40088759235175
3.5400000000000027,-1.87696617346,-0.597557339331,21.3535850761,6.17937619842,0.0947602580232,0.0,-1.80891331914,-0.918982992084,5.6735187821,-0.114815591878,0.00164072390943,0.0,454.6811424130823,454.9580958652957,454.52148225474707,453.24062889219266
